"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
7.5,569.5775,1.48187932329402
7.5,571.07375,1.46619949149662
7.5,572.57,1.45101689993817
7.5,574.06625,1.43635164492587
7.5,575.5625,1.42222584654728
7.5,577.05875,1.40866376082416
7.5,578.555,1.39569186633344
7.5,580.05125,1.38333891218359
7.5,581.5475,1.37163591125673
7.5,583.04375,1.3606160597619
7.5,584.54,1.35031456186884
7.5,586.03625,1.34076833718627
7.5,587.5325,1.33201559000131
7.5,589.02875,1.32409522351653
7.5,590.525,1.31704609076077
7.5,592.02125,1.31090608700117
7.5,593.5175,1.30571110617627
7.5,595.01375,1.30149390475758
7.5,596.51,1.29828293777505
7.5,598.00625,1.29610124948392
7.5,599.5025,1.29496551071455
7.5,600.99875,1.29488529239252
7.5,602.495,1.29586264819033
7.5,603.99125,1.29789205007767
7.5,605.4875,1.30096068327754
7.5,606.98375,1.30504906867529
7.5,608.48,1.31013194827384
7.5,609.97625,1.31617934833197
7.5,611.4725,1.32315772776526
7.5,612.96875,1.33103112531225
7.5,614.465,1.33976223446216
7.5,615.96125,1.34931335568415
7.5,617.4575,1.35964719679727
7.5,618.95375,1.37072751118003
7.5,620.45,1.38251957815932
7.5,621.94625,1.394990539829
7.5,623.4425,1.40810961411689
7.5,624.93875,1.42184820601181
7.5,626.435,1.43617993848876
7.5,627.93125,1.45108062276181
7.5,629.4275,1.46652818479909
7.5,630.92375,1.48250256208865
7.5,632.42,1.49898558179303
7.5,633.91625,1.51596082886976
7.5,635.4125,1.53341351054992
7.5,636.90875,1.55133032177467
7.5,638.405,1.56969931476485
7.5,639.90125,1.5885097747983
7.5,641.3975,1.60775210343843
7.5,642.89375,1.62741770984813
7.5,644.39,1.64749891038557
7.5,645.88625,1.66798883637633
7.5,647.3825,1.6888813497542
7.5,648.87875,1.71017096613667
7.5,650.375,1.73185278482942
7.5,651.87125,1.75392242522099
7.5,653.3675,1.77637596902294
7.5,654.86375,1.79920990782303
7.5,656.36,1.8224210954425
7.5,657.85625,1.84600670461988
7.5,659.3525,1.86996418757729
7.5,660.84875,1.89429124006177
7.5,662.345,1.91898576848892
7.5,663.84125,1.94404585985071
7.5,665.3375,1.96946975408148
7.5,666.83375,1.99525581860601
7.5,668.33,2.02140252482136
7.5,669.82625,2.04790842628915
7.5,671.3225,2.07477213843814
7.5,672.81875,2.10199231959681
7.5,674.315,2.12956765319479
7.5,675.81125,2.15749683098832
7.5,677.3075,2.18577853717904
7.5,678.80375,2.21441143330963
7.5,680.3,2.24339414383031
7.5,681.79625,2.27272524224143
7.5,683.2925,2.30240323772623
7.5,684.78875,2.33242656219595
7.5,686.285,2.3627935576771
7.5,687.78125,2.39350246397645
7.5,689.2775,2.42455140656631
7.5,690.77375,2.45593838463597
7.5,692.27,2.48766125926174
7.5,693.76625,2.51971774165059
7.5,695.2625,2.55210538141693
7.5,696.75875,2.58482155485518
7.5,698.255,2.61786345317373
7.5,699.75125,2.651228070659
7.5,701.2475,2.68491219274056
7.5,702.74375,2.71891238393112
7.5,704.24,2.75322497561708
7.5,705.73625,2.78784605367812
7.5,707.2325,2.82277144591593
7.5,708.72875,2.85799670927483
7.5,710.225,2.89351711683933
7.5,711.72125,2.92932764459528
7.5,713.2175,2.96542295794481
7.5,714.71375,3.0017973979663
7.5,716.21,3.03844496741523
7.5,717.70625,3.07535931646272
7.5,719.2025,3.11253372817321
7.5,720.69875,3.14996110372577
7.5,722.195,3.18763394738709
7.5,723.69125,3.22554435124912
7.5,725.1875,3.26368397974853
7.5,726.68375,3.30204405399088
7.5,728.18,3.3406153359078
7.5,729.67625,3.37938811228266
7.5,731.1725,3.4183521786869
7.5,732.66875,3.45749682337801
7.5,734.165,3.49681081121832
7.5,735.66125,3.53628236768465
7.5,737.1575,3.57589916305019
7.5,738.65375,3.61564829683112
7.5,740.15,3.65551628260628
7.5,741.64625,3.69548903333166
7.5,743.1425,3.73555184728985
7.5,744.63875,3.77568939483219
7.5,746.135,3.81588570609255
7.5,747.63125,3.85612415987435
7.5,749.1275,3.8963874739373
7.5,750.62375,3.93665769693699
7.5,752.12,3.97691620230127
7.5,753.61625,4.01714368435914
7.5,755.1125,4.05732015707343
7.5,756.60875,4.09742495576711
7.5,758.105,4.13743674227333
