"fat_thickness [mm]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []"
10,481.29875,108.133861885765,-64.2910998264813
10,482.795,107.46671200175,-63.1344211376146
10,484.29125,106.802573274289,-61.9843896356328
10,485.7875,106.141421845531,-60.840982113671
10,487.28375,105.48323469759,-59.704175935441
10,488.78,104.82798967134,-58.5739490024023
10,490.27625,104.175665483317,-57.4502797203033
10,491.7725,103.526241740723,-56.3331469651639
10,493.26875,102.879698954531,-55.2225300487775
10,494.765,102.236018550701,-54.1184086838093
10,496.26125,101.595182879506,-53.0207629485679
10,497.7575,100.957175222975,-51.9295732515295
10,499.25375,100.321979800466,-50.8448202956906
10,500.75,99.6895817723862,-49.7664850428313
10,502.24625,99.0599672420668,-48.694548677764
10,503.7425,98.433123255816,-47.6289925726496
10,505.23875,97.8090378011716,-46.5697982514551
10,506.735,97.1876998033795,-45.5169473546343
10,508.23125,96.5690991201231,-44.4704216041052
10,509.7275,95.9532265345366,-43.4302027686011
10,511.22375,95.3400737465363,-42.396272629469
10,512.72,94.7296333625073,-41.3686129469914
10,514.21625,94.1218988833855,-40.3472054272981
10,515.7125,93.5168646911789,-39.3320316899432
10,517.20875,92.9145260339746,-38.3230732362111
10,518.705,92.3148790094803,-37.3203114182204
10,520.20125,91.7179205471538,-36.3237274088861
10,521.6975,91.1236483889736,-35.3333021728034
10,523.19375,90.5320610689094,-34.34901643811
10,524.69,89.9431578911531,-33.3708506693822
10,526.18625,89.3569389071692,-32.3987850416172
10,527.6825,88.7734048916333,-31.4327994153508
10,529.17875,88.1925573173226,-30.4728733129555
10,530.675,87.6143983290263,-29.5189858961619
10,532.17125,87.0389307165472,-28.5711159448411
10,533.6675,86.4661578868643,-27.6292418370849
10,535.16375,85.8960838355292,-26.6933415306123
10,536.66,85.3287131173705,-25.7633925455323
10,538.15625,84.7640508165782,-24.8393719484847
10,539.6525,84.2021025162453,-23.9212563381794
10,541.14875,83.6428742674394,-23.0090218323494
10,542.645,83.0863725578804,-22.1026440561313
10,544.14125,82.5326042802995,-21.2020981318758
10,545.6375,81.9815767005525,-20.3073586703991
10,547.13375,81.433297425564,-19.4183997636706
10,548.63,80.8877743711724,-18.535194978933
10,550.12625,80.3450157299508,-17.6577173542516
10,551.6225,79.8050299390728,-16.7859393954755
10,553.11875,79.2678256482941,-15.9198330746022
10,554.615,78.7334116881166,-15.0593698295229
10,556.11125,78.2017970382015,-14.2045205651289
10,557.6075,77.6729907960966,-13.3552556557552
10,559.10375,77.1470021463383,-12.5115449489322
10,560.6,76.6238403299886,-11.6733577704153
10,562.09625,76.103514614665,-10.8406629304604
10,563.5925,75.5860342651175,-10.0134287313087
10,565.08875,75.0714085144047,-9.19162297584062
10,566.585,74.5596465357184,-8.37521297736335
10,568.08125,74.0507574149041,-7.56416557048502
10,569.5775,73.5447501237194,-6.75844712303391
10,571.07375,73.0416334938717,-5.95802354897591
10,572.57,72.541416191873,-5.16286032228474
10,574.06625,72.0441066947453,-4.37292249171369
10,575.5625,71.5497132666093,-3.588174696423
10,577.05875,71.058243936182,-2.80858118241027
10,578.555,70.5697064752119,-2.0341058196935
10,580.05125,70.0841083778703,-1.26471212019757
10,581.5475,69.6014568411196,-0.500363256289502
10,583.04375,69.1217587460744,0.258977920086969
10,584.54,68.6450206403664,1.01334885772786
10,586.03625,68.1712487215258,1.76278728599107
10,587.5325,67.7004488213838,2.50733119417091
10,589.02875,67.2326263915012,3.24701881047781
10,590.525,66.7677864896261,3.98188858067154
10,592.02125,66.3059337671767,4.71197914639512
10,593.5175,65.8470724577483,5.43732932325953
10,595.01375,65.3912063666366,6.15797807872334
10,596.51,64.9383388613703,6.87396450981119
10,598.00625,64.4884728632415,7.5853278207185
10,599.5025,64.041610839822,8.29210730033957
10,600.99875,63.5977547984496,8.99434229976446
10,602.495,63.1569062806704,9.69207220977826
10,603.99125,62.7190663576167,10.3853364384044
