"fat_thickness [mm]","Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
10,0.6,44,8,-49.9619911993041
10,0.6,44,10,-48.395755462093
10,0.6,44,12,-47.0531802915492
10,0.6,44,14,-45.8801437137912
10,0.6,44,16,-44.8394760635609
10,0.6,44,18,-43.9049763760906
10,0.6,44,20,-43.0577008018767
10,0.6,44,22,-42.2836401740434
10,0.6,44,24,-41.5722284933442
10,0.6,44,26,-40.9153563214763
10,0.6,44,28,-40.3066992396841
10,0.6,44,30,-39.7412487476167
10,0.6,44,32,-39.2149770967794
10,0.6,44,34,-38.7245932779483
10,0.6,44,36,-38.2673627438687
10,0.6,44,38,-37.8409728427355
10,0.6,44,40,-37.4434318104963
10,0.6,44,42,-37.0729929134314
10,0.6,44,44,-36.7280977597277
10,0.6,44,46,-36.4073343974894
10,0.6,44,48,-36.1094068874449
10,0.6,44,50,-35.833113771784
10,0.6,44,52,-35.577333378955
10,0.6,44,54,-35.3410142878398
10,0.6,44,56,-35.1231695749143
10,0.6,44,58,-34.9228737164602
10,0.6,44,60,-34.7392612324558
10,0.6,44,62,-34.5715263478965
10,0.6,44,64,-34.4189231136483
10,0.6,44,66,-34.2807655723827
10,0.6,44,68,-34.1564276750953
10,0.6,44,70,-34.0453427506826
10,0.6,44,72,-33.9470024074132
10,0.6,44,74,-33.8609548050502
10,0.6,44,76,-33.7868022851401
10,0.6,44,78,-33.7241983899535
10,0.6,44,80,-33.6728443421275
10,0.6,44,82,-33.6324850997247
10,0.6,44,84,-33.6029051454064
10,0.6,44,86,-33.5839242116481
10,0.6,44,88,-33.5753931824971
10,0.6,44,90,-33.5771904413344
10,0.6,44,92,-33.5892189483394
10,0.6,44,94,-33.6114043264705
10,0.6,44,96,-33.6436942078592
10,0.6,44,98,-33.6860590426409
10,0.6,44,100,-33.7384945007867
10,0.6,44,102,-33.8010255081958
10,0.6,44,104,-33.8737118570843
10,0.6,44,106,-33.9566552253539
10,0.6,44,108,-34.0500073392391
10,0.6,44,110,-34.1539789277721
10,0.6,44,112,-34.2688490558483
10,0.6,44,114,-34.3949743930448
10,0.6,44,116,-34.5327979838228
10,0.6,44,118,-34.682857134452
10,0.6,44,120,-34.8457901227987
