"fat_thickness [mm]","Freq [MHz]","dB(S(1,1)) []"
7.5,476.81,-5.66129458992322
7.5,478.30625,-5.73513307732227
7.5,479.8025,-5.8102413892928
7.5,481.29875,-5.88664745929817
7.5,482.795,-5.96437998970792
7.5,484.29125,-6.04346847728633
7.5,485.7875,-6.12394323952708
7.5,487.28375,-6.20583544184045
7.5,488.78,-6.28917712559403
7.5,490.27625,-6.37400123700213
7.5,491.7725,-6.46034165685186
7.5,493.26875,-6.54823323104443
7.5,494.765,-6.63771180192017
7.5,496.26125,-6.72881424032269
7.5,497.7575,-6.82157847834225
7.5,499.25375,-6.91604354266078
7.5,500.75,-7.01224958839921
7.5,502.24625,-7.11023793334222
7.5,503.7425,-7.21005109238575
7.5,505.23875,-7.31173281201683
7.5,506.735,-7.41532810459332
7.5,508.23125,-7.52088328214164
7.5,509.7275,-7.62844598933218
7.5,511.22375,-7.73806523522318
7.5,512.72,-7.84979142328277
7.5,514.21625,-7.9636763791036
7.5,515.7125,-8.07977337511172
7.5,517.20875,-8.19813715143902
7.5,518.705,-8.31882393197305
7.5,520.20125,-8.44189143441356
7.5,521.6975,-8.56739887294993
7.5,523.19375,-8.69540695191794
7.5,524.69,-8.82597784849478
7.5,526.18625,-8.95917518213815
7.5,527.6825,-9.09506396805707
7.5,529.17875,-9.23371055151296
7.5,530.675,-9.37518251916922
7.5,532.17125,-9.51954858302652
7.5,533.6675,-9.66687843167623
7.5,535.16375,-9.81724254265814
7.5,536.66,-9.97071194859194
7.5,538.15625,-10.1273579484403
7.5,539.6525,-10.2872517537145
7.5,541.14875,-10.4504640576214
7.5,542.645,-10.6170645130188
7.5,544.14125,-10.7871211025545
7.5,545.6375,-10.9606993814514
7.5,547.13375,-11.1378615700096
7.5,548.63,-11.3186654689622
7.5,550.12625,-11.5031631662842
7.5,551.6225,-11.6913994988486
7.5,553.11875,-11.8834102264128
7.5,554.615,-12.0792198687666
7.5,556.11125,-12.2788391495071
7.5,557.6075,-12.4822619819051
7.5,559.10375,-12.6894619238711
7.5,560.6,-12.9003880204579
7.5,562.09625,-13.1149599442017
7.5,563.5925,-13.3330623367681
7.5,565.08875,-13.55453825113
7.5,566.585,-13.7791815937454
7.5,568.08125,-14.006728473558
7.5,569.5775,-14.2368473827449
7.5,571.07375,-14.4691281677769
7.5,572.57,-14.703069804691
7.5,574.06625,-14.9380670770487
7.5,575.5625,-15.1733963775484
7.5,577.05875,-15.4082010238551
7.5,578.555,-15.6414767040027
7.5,580.05125,-15.8720579512808
7.5,581.5475,-16.0986068896568
7.5,583.04375,-16.3196058720486
7.5,584.54,-16.5333560183157
7.5,586.03625,-16.7379839835095
7.5,587.5325,-16.9314594538034
7.5,589.02875,-17.1116257526926
7.5,590.525,-17.276245405103
7.5,592.02125,-17.4230614333998
7.5,593.5175,-17.5498734998769
7.5,595.01375,-17.6546258506567
7.5,596.51,-17.735501622517
7.5,598.00625,-17.7910158977759
7.5,599.5025,-17.8200984965986
7.5,600.99875,-17.8221574054784
7.5,602.495,-17.7971152459997
7.5,603.99125,-17.7454141878021
7.5,605.4875,-17.6679886741508
7.5,606.98375,-17.5662094288375
7.5,608.48,-17.4418055770953
7.5,609.97625,-17.296773700004
7.5,611.4725,-17.1332830173014
7.5,612.96875,-16.9535848427544
7.5,614.465,-16.7599324540295
7.5,615.96125,-16.5545151362316
7.5,617.4575,-16.339407891197
7.5,618.95375,-16.1165364778422
7.5,620.45,-15.8876561987533
7.5,621.94625,-15.6543421612479
7.5,623.4425,-15.4179885141622
7.5,624.93875,-15.1798142578069
7.5,626.435,-14.9408735125037
7.5,627.93125,-14.7020685054904
7.5,629.4275,-14.4641639232286
7.5,630.92375,-14.2278016319085
7.5,632.42,-13.9935150713679
7.5,633.91625,-13.7617428702308
7.5,635.4125,-13.5328414155481
7.5,636.90875,-13.3070962459602
7.5,638.405,-13.0847322324494
7.5,639.90125,-12.8659225740408
7.5,641.3975,-12.6507966752822
7.5,642.89375,-12.4394469945471
7.5,644.39,-12.2319349623751
7.5,645.88625,-12.0282960711245
7.5,647.3825,-11.8285442340944
